Average Retail Price of Electricity Commercial Monthly
https://www.eia.gov/opendata/qb.php?category=711299&sdid=TOTAL.ESCMUUS.M
00:16:56 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.ESCMUUS.M Cents per Kilowatthour  Including Taxes
Sep 1981,6.5
Aug 1981,6.5
Jul 1981,6.5
Jun 1981,6.5
May 1981,6.3
Apr 1981,6.1
Mar 1981,6
Feb 1981,5.8
Jan 1981,5.7
Dec 1980,5.7
Nov 1980,5.7
Oct 1980,5.8
Sep 1980,5.7
Aug 1980,5.6
Jul 1980,5.7
Jun 1980,5.6
May 1980,5.4
Apr 1980,5.3
Mar 1980,5.2
Feb 1980,5
Jan 1980,4.9
Dec 1979,4.9
Nov 1979,4.9
Oct 1979,4.9
Sep 1979,4.8
Aug 1979,4.8
Jul 1979,4.8
Jun 1979,4.7
May 1979,4.7
Apr 1979,4.5
Mar 1979,4.4
Feb 1979,4.3
Jan 1979,4.3
Dec 1978,4.3
Nov 1978,4.4
Oct 1978,4.5
Sep 1978,4.4
Aug 1978,4.4
Jul 1978,4.4
Jun 1978,4.5
May 1978,4.4
Apr 1978,4.4
Mar 1978,4.3
Feb 1978,4.2
Jan 1978,4.1
Dec 1977,4.1
Nov 1977,4.2
Oct 1977,4.3
Sep 1977,4.2
Aug 1977,4.4
Jul 1977,4.1
Jun 1977,4.1
May 1977,4.1
Apr 1977,4
Mar 1977,4
Feb 1977,3.9
Jan 1977,3.8
Dec 1976,3.7
Nov 1976,3.8
Oct 1976,3.8
Sep 1976,3.7
Aug 1976,3.6
Jul 1976,3.7
Jun 1976,
May 1976,
Apr 1976,
Mar 1976,
Feb 1976,
Jan 1976,
