Year,CensusBlock,City,State,HouseholdIncome,HouseholdIncomeMedian
2015,13121003700,Atlanta,GA,12411,5926
2015,13121003600,Atlanta,GA,32337,8639
2015,13121008601,Atlanta,GA,21106,2725
2015,13121008500,Atlanta,GA,27383,3212
2015,13121007002,Atlanta,GA,26329,5835
2015,13121001300,Atlanta,GA,58125,11296
2015,13121008400,Atlanta,GA,21525,2434
2015,13121001400,Atlanta,GA,71469,14259
2015,13121008302,Atlanta,GA,28500,5000
2015,13121007100,Atlanta,GA,20810,3136
2015,13121003500,Atlanta,GA,50850,6008
2015,13121008301,Atlanta,GA,27432,7818
2015,13121001500,Atlanta,GA,60182,12058
2015,13121008202,Atlanta,GA,27346,4255
2015,13121007200,Atlanta,GA,22332,3994
2015,13121001600,Atlanta,GA,60848,13339
2015,13121003200,Atlanta,GA,65168,9287
2015,13121008102,Atlanta,GA,21192,5992
2015,13121001700,Atlanta,GA,46571,9633
2015,13121007300,Atlanta,GA,22329,5656
2015,13121008101,Atlanta,GA,29300,5867
2015,13121001800,Atlanta,GA,36815,11499
2015,13121008000,Atlanta,GA,39531,10341
2015,13121007900,Atlanta,GA,52181,11617
2015,13121007400,Atlanta,GA,16113,4498
2015,13121003100,Atlanta,GA,45000,13064
2015,13121001900,Atlanta,GA,54073,16185
2015,13121007808,Atlanta,GA,11766,3532
2015,13121002100,Atlanta,GA,37627,9579
2015,13121007500,Atlanta,GA,16196,3799
2015,13121007807,Atlanta,GA,20775,7221
2015,13121003000,Atlanta,GA,83576,12171
2015,13121007806,Atlanta,GA,28333,8119
2015,13121002300,Atlanta,GA,23088,3847
2015,13121007602,Atlanta,GA,31108,4795
2015,13121007805,Atlanta,GA,31797,7773
2015,13121002400,Atlanta,GA,31271,3247
2015,13121007802,Atlanta,GA,48877,5643
2015,13121007706,Atlanta,GA,40220,7146
2015,13121007603,Atlanta,GA,13251,1755
2015,13121002900,Atlanta,GA,59276,7306
2015,13121002500,Atlanta,GA,24199,3104
2015,13121007705,Atlanta,GA,21949,3488
2015,13121002600,Atlanta,GA,30046,7139
2015,13121007604,Atlanta,GA,13674,5420
2015,13121007704,Atlanta,GA,33750,5187
2015,13121002800,Atlanta,GA,21938,4095
2015,13121007703,Atlanta,GA,43531,4536
2014,13121009000,Atlanta,GA,104038,5947
2014,13121007703,Atlanta,GA,40793,7725
2014,13121007704,Atlanta,GA,33474,8210
2014,13121007604,Atlanta,GA,16289,3282
2014,13121002600,Atlanta,GA,30118,12680
2014,13121007705,Atlanta,GA,19248,4314
2014,13121002900,Atlanta,GA,60667,11570
2014,13121007706,Atlanta,GA,42258,4126
2014,13121007603,Atlanta,GA,14112,2421
2014,13121002500,Atlanta,GA,22351,3775
2014,13121007802,Atlanta,GA,46056,4090
2014,13121002400,Atlanta,GA,29451,7842
2014,13121007805,Atlanta,GA,32401,8839
2014,13121003000,Atlanta,GA,86103,13319
2014,13121007602,Atlanta,GA,35446,7590
2014,13121007806,Atlanta,GA,31552,6329
2014,13121002300,Atlanta,GA,21486,3381
2014,13121007807,Atlanta,GA,17324,4766
2014,13121007500,Atlanta,GA,16695,4893
2014,13121002100,Atlanta,GA,32279,14222
2014,13121007808,Atlanta,GA,11440,4097
2014,13121003100,Atlanta,GA,47843,7470
2014,13121007900,Atlanta,GA,58750,12510
2014,13121007400,Atlanta,GA,14879,2182
2014,13121001900,Atlanta,GA,51474,8740
2014,13121008000,Atlanta,GA,38056,8104
2014,13121001800,Atlanta,GA,34583,9113
2014,13121008101,Atlanta,GA,28929,2775
2014,13121003200,Atlanta,GA,52770,7652
2014,13121007300,Atlanta,GA,22982,4943
2014,13121008102,Atlanta,GA,23032,4156
2014,13121001700,Atlanta,GA,35337,11559
2014,13121008201,Atlanta,GA,27001,3508
2014,13121005200,Atlanta,GA,83542,18458
2014,13121001600,Atlanta,GA,63417,10857
2014,13121008202,Atlanta,GA,25757,6184
2014,13121007200,Atlanta,GA,23708,7240
2014,13121008301,Atlanta,GA,29926,5398
2014,13121003500,Atlanta,GA,53953,3892
2014,13121001500,Atlanta,GA,61362,8575
2014,13121008302,Atlanta,GA,27381,7136
2014,13121007100,Atlanta,GA,19470,4891
2014,13121001400,Atlanta,GA,70215,15144
2014,13121008400,Atlanta,GA,19250,4937
2014,13121003600,Atlanta,GA,30375,14801
2014,13121008500,Atlanta,GA,27740,2833
2014,13121007002,Atlanta,GA,25496,6852
2014,13121001300,Atlanta,GA,57625,13167
2014,13121008601,Atlanta,GA,20440,4223
2014,13121007001,Atlanta,GA,25441,7339
2014,13121001202,Atlanta,GA,66670,4245
2014,13121008602,Atlanta,GA,30563,11945
2014,13121008700,Atlanta,GA,26279,4627
2014,13121003800,Atlanta,GA,21071,18604
2014,13121001201,Atlanta,GA,57250,6692
2014,13121008800,Atlanta,GA,93750,18073
2014,13121006900,Atlanta,GA,44271,9719
2014,13121001100,Atlanta,GA,71901,7175
2014,13121008902,Atlanta,GA,52442,4782
2014,13121006802,Atlanta,GA,2499,
2014,13121008903,Atlanta,GA,70771,2253
2014,13121001002,Atlanta,GA,32961,12802
2014,13121008904,Atlanta,GA,68098,13057
2014,13121003900,Atlanta,GA,21875,11646
2014,13121006700,Atlanta,GA,19629,2466
2014,13121001001,Atlanta,GA,67353,16244
2014,13121002800,Atlanta,GA,20915,5961
2014,13121009101,Atlanta,GA,69750,10692
2014,13089020100,Atlanta,GA,130385,27267
2014,13121000700,Atlanta,GA,68631,9442
2014,13121009102,Atlanta,GA,53482,21768
2014,13121006602,Atlanta,GA,13872,4731
2014,13121000600,Atlanta,GA,44612,4861
2014,13121009200,Atlanta,GA,53331,3698
2014,13121004000,Atlanta,GA,25388,5265
2014,13121006601,Atlanta,GA,29911,9105
2014,13121009300,Atlanta,GA,95179,12371
2014,13121000500,Atlanta,GA,81615,23756
2014,13121009402,Atlanta,GA,63799,3283
2014,13121004100,Atlanta,GA,24554,6537
2014,13121000400,Atlanta,GA,92273,26511
2014,13121009403,Atlanta,GA,41296,13442
2014,13121006500,Atlanta,GA,41869,3451
2014,13121009404,Atlanta,GA,72282,19852
2014,13121000200,Atlanta,GA,101100,16567
2014,13121009501,Atlanta,GA,133750,24129
2014,13121006400,Atlanta,GA,31324,18232
2014,13121000100,Atlanta,GA,128578,20595
2014,13121009502,Atlanta,GA,48068,6194
2014,13121004200,Atlanta,GA,19055,6188
2014,13121006300,Atlanta,GA,22009,5048
2014,13121009601,Atlanta,GA,93026,14725
2014,13089023700,Atlanta,GA,26849,10631
2014,13121009602,Atlanta,GA,91875,18130
2014,13121004300,Atlanta,GA,30272,7446
2014,13089022401,Atlanta,GA,70417,17614
2014,13121009603,Atlanta,GA,61908,10630
2014,13121006200,Atlanta,GA,24844,6535
2014,13121009700,Atlanta,GA,164659,42438
2014,13089020900,Atlanta,GA,46161,10416
2014,13121009801,Atlanta,GA,132143,34755
2014,13121006100,Atlanta,GA,26107,11053
2014,13089020802,Atlanta,GA,49464,13040
2014,13121009802,Atlanta,GA,154702,15636
2014,13121004400,Atlanta,GA,18359,3855
2014,13121006000,Atlanta,GA,26359,7942
2014,13121009900,Atlanta,GA,108800,21040
2014,13089020801,Atlanta,GA,67005,13782
2014,13121010001,Atlanta,GA,100921,20075
2014,13121004800,Atlanta,GA,11199,3102
2014,13089020700,Atlanta,GA,45742,4823
2014,13121010002,Atlanta,GA,142375,21354
2014,13121005800,Atlanta,GA,25795,14104
2014,13121010114,Atlanta,GA,53763,7941
2014,13089020600,Atlanta,GA,38661,9236
2014,13121010206,Atlanta,GA,163194,33357
2014,13121005700,Atlanta,GA,17717,5144
2014,13089020500,Atlanta,GA,45760,8734
2014,13121010211,Atlanta,GA,158209,53117
2014,13121004900,Atlanta,GA,58887,2975
2014,13121005502,Atlanta,GA,16726,2728
2014,13121010303,Atlanta,GA,70352,14837
2014,13089020400,Atlanta,GA,83720,10397
2014,13121010800,Atlanta,GA,37118,17938
2014,13121005000,Atlanta,GA,61806,11875
2014,13089020300,Atlanta,GA,103722,10820
2014,13121011800,Atlanta,GA,9335,3891
2014,13121005501,Atlanta,GA,25321,10745
2014,13121011900,Atlanta,GA,24083,7415
2014,13089020200,Atlanta,GA,87500,27351
2014,13121012000,Atlanta,GA,12333,3415
2014,13121005300,Atlanta,GA,91216,10989
2013,13121007703,Atlanta,GA,36971,7677
2013,13121004000,Atlanta,GA,26875,4418
2013,13121009101,Atlanta,GA,71691,9346
2013,13121003500,Atlanta,GA,56190,6383
2013,13121007807,Atlanta,GA,17466,7059
2013,13121008202,Atlanta,GA,26736,6708
2013,13121000700,Atlanta,GA,63594,16799
2013,13121009102,Atlanta,GA,44089,22660
2013,13121007705,Atlanta,GA,21170,4799
2013,13121003100,Atlanta,GA,47941,3495
2013,13121006602,Atlanta,GA,12439,2431
2013,13121001600,Atlanta,GA,63750,11206
2013,13121009200,Atlanta,GA,54130,3158
2013,13121007200,Atlanta,GA,22669,4705
2013,13121008301,Atlanta,GA,24286,3673
2013,13121000600,Atlanta,GA,43570,2966
2013,13121002500,Atlanta,GA,19912,4661
2013,13121009300,Atlanta,GA,92857,11970
2013,13121007802,Atlanta,GA,46116,5617
2013,13121006601,Atlanta,GA,30234,7223
2013,13121007808,Atlanta,GA,11438,2304
2013,13121000500,Atlanta,GA,77865,17528
2013,13121009402,Atlanta,GA,62745,8096
