UID,BuildingID,DataYear,City,State,ZipCode,BuildingType,PrimaryPropertyUse,YearBuilt,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu)
131,223,2015,Seattle,WA,98126,NonResidential,Retail Store,1966,64984,41.6,42.6,121.1,120.2,2721646.0,2785857.0,0.0,2423136.0,298611.0
132,224,2015,Seattle,WA,98126,NonResidential,Retail Store,1965,67745,141.1,152.2,241.1,250.6,9560965.0,10315565.0,0.0,3016102.0,6544988.0
133,225,2015,Seattle,WA,98126,Specialty,K-12 School,2010,367884,33.3,39.0,81.8,90.3,12263687.0,14356216.0,0.0,8236429.0,4027600.0
134,226,2015,Seattle,WA,98126,Specialty,K-12 School,1958,46797,40.8,52.5,81.0,99.0,1911611.0,2458535.0,0.0,852346.0,1059300.0
135,227,2015,Seattle,WA,98144,Specialty,K-12 School,1963,136188,39.9,50.9,78.6,93.8,5436057.0,6929738.0,0.0,2388755.0,3047400.0
136,228,2015,Seattle,WA,98117,NonResidential,Other,1973,56000,31.3,38.0,65.0,72.0,1755264.0,2129536.0,0.0,858626.0,896674.0
137,229,2015,Seattle,WA,98118,Specialty,K-12 School,2004,67371,30.8,34.2,77.7,81.3,2075833.0,2304835.0,0.0,1461994.0,613900.0
138,230,2015,Seattle,WA,98126,NonResidential,Self-Storage Facility,1969,52088,22.8,27.7,44.4,50.9,1186800.0,1445190.0,0.0,509226.0,677596.0
139,231,2015,Seattle,WA,98103,Specialty,K-12 School,2010,127776,33.0,34.3,93.8,97.8,4213726.0,4378534.0,0.0,3615976.0,597900.0
140,232,2015,Seattle,WA,98109,NonResidential,Hotel,1998,123920,72.3,75.6,144.2,148.1,8964061.0,9362176.0,0.0,4045691.0,4918538.0
141,233,2015,Seattle,WA,98109,Specialty,Museum,1900,58000,170.7,192.4,356.3,378.0,7338511.0,8273346.0,0.0,3644232.0,3694428.0
