Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Year Built,Energy Audit Due Date,Energy Audit Status,Benchmark 2017 Status,2017 Reason for Exemption,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percentage Better than National Median Source EUI,2017 Total GHG Emissions (Metric Tons CO2e),2017 Total GHG Emissions Intensity (kgCO2e/ft2),2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
0310/003,K&H California,45 KEARNY ST,94108,"45 KEARNY ST
SAN FRANCISCO, CA 94108",28660,Office,http://propertymap.sfplanning.org/?&search=0310/003,1907,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,51,54.2,134.4,-2.1,-2.1,106.7,3.7,54.8,136.1,43,64,144.3,7.1,7.1,133,4.6,64,144.3,56,54.5,127.9,-6.9,-6.9,110.6,3.9,55.6,129,58,53,122.8,-8.8,-8.8,106.8,3.7,55.9,127.4,,,,,,,,,,,140.9,400.6,107.3,,280.16,,142.5,404.7,,,,,,,,,
0310/004,25 Kearny Street,25 KEARNY ST,94108,"25 KEARNY ST
SAN FRANCISCO, CA 94108",42489,Office,http://propertymap.sfplanning.org/?&search=0310/004,1909,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,77,67.7,148,-29.2,-29.2,188.3,4.4,67.7,148,72,75.1,157.2,-23.5,-23.5,223.1,5.3,75.1,157.2,67,74,157.5,-18.9,-18.9,213.1,5,74,157.5,54,50.9,126,-5.2,-5.2,156.9,3.7,50.9,126,86,48.4,126.7,-39.8,-39.8,153.1,3.6,48.5,126.8,84,55.6,145.5,-39.2,,185.83,,55.6,145.5,,,,,,,,,
0310/005,12 Geary St. Building,10 GEARY ST,94108,"10 GEARY ST
SAN FRANCISCO, CA 94108",19260,Office,http://propertymap.sfplanning.org/?&search=0310/005,1907,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,100,22.2,25.5,-85.2,-85.2,23.2,1.2,25.3,28.7,100,22.3,25.1,-85.2,-85.2,23.3,1.2,,,100,20.4,36.8,-78.6,-78.6,24.9,1.3,21.6,38.2,100,22.3,42,-75.4,-75.4,27,1.4,26.8,46.7,99,29,52.9,-70.2,-70.2,34,1.9,29.4,53.4,,,,,,,,,,,,,,,,,,
0310/008,28 Geary,28 GEARY ST,94108,"28 GEARY ST
SAN FRANCISCO, CA 94108",50121,Office,http://propertymap.sfplanning.org/?&search=0310/008,1908,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,34.2,99.3,-45.2,-45.2,125.5,2.5,34.7,99.9,86,36.3,107.4,-39.7,-39.7,134.3,2.7,36.6,107.2,86,36.3,109,,,144.9,2.9,36.5,109.2,91,32.1,94.2,,,126.7,2.5,32.8,95,93,32.6,92.3,-49.6,-49.6,126.3,2.5,32.6,92.3,93,32.2,92.6,-49.9,,134.8,,32.3,92.7,93,32.6,,-49.7,,140.5,,32.6,
0310/013,Geary Grant LLC,77 MAIDEN LN,94108,"77 MAIDEN LN
SAN FRANCISCO, CA 94108",119000,Office,http://propertymap.sfplanning.org/?&search=0310/013,1920,2020-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,,,,,,,,,28.8,84.5,-42.9,-42.9,285.9,2.4,30.1,85.9,,30.4,89.5,-39.6,-39.6,285.4,2.4,30.9,89.9,,30.5,90.7,-38.7,-38.7,287.6,2.4,30.7,91.2,,41.3,103.1,-30.4,-30.4,357.7,3,41.3,103.1,96,47.3,125.1,-57.9,,447.31,,48.5,128.5,97,43,,-60.6,,413.93,,42.5,
0310/018,185 Post Street,185 POST ST,94108,"185 POST ST
SAN FRANCISCO, CA 94108",28722,Office,http://propertymap.sfplanning.org/?&search=0310/018,1907,2013-04-01T00:00:00.000,Did Not Comply,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,98,24.8,51.5,-66.8,-66.8,45.7,1.6,24.5,50.7,98,31.8,61,-63.4,-63.4,61.2,2.1,31.4,60,99,22,54.1,-68.2,-68.2,45.6,1.6,22.7,54.6,39,68.5,188.1,12.4,12.4,149.9,5.2,70.4,190.1,40,70.1,191.1,11.4,11.4,152.8,5.3,70.2,191.3,59,66.5,176.3,-10.8,,151.97,,66.5,176.3,,,,,,,,,
0310/019,177 Post Street Associates,177 POST ST,94108,"177 POST ST
SAN FRANCISCO, CA 94108",67390,Office,http://propertymap.sfplanning.org/?&search=0310/019,1908,2022-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,80,36.3,101.8,-37.7,-37.7,172.5,2.6,35.7,100.1,88,37.5,117.8,-42,-42,219.3,3.3,36.7,115.4,84,41.1,129,-37.6,-37.6,225.7,3.3,40.5,127.1,84,41.1,129.1,-36.6,-36.6,226,3.4,40.3,126.4,86,41.5,130.2,-39.8,-39.8,245.6,3.6,41.5,130.2,86,46.7,156,-41.1,,274.8,,46.7,156,97,30.8,,-61.3,,181.33,,30.3,
0310/020,165 POST ST,165 POST ST,94108,"165 POST ST
SAN FRANCISCO, CA 94108",46314,Office,http://propertymap.sfplanning.org/?&search=0310/020,1908,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,Exempt,SqFt Not Subject This Year,65,44.9,132.5,-16.1,-16.1,155.8,3.4,44.3,130.5,61,46.5,136.3,-12.2,-12.2,182.2,3.9,45.4,132.9,63,43.4,135.2,-14.5,-14.5,163.4,3.5,42.5,132.5,47,42.6,131.4,2.5,2.5,160,3.5,41.7,128.7,54,39.9,123.8,-4.6,-4.6,150.1,3.2,39.9,123.8,,,,,,,,,,,,,,,,,,
0310/021,Seaker & Sons,135 POST ST,94108,"135 POST ST
SAN FRANCISCO, CA 94108",75950,Office,http://propertymap.sfplanning.org/?&search=0310/021,1908,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Complied,,60,58.7,162.2,-11.9,-11.9,319.8,4.2,58.7,162.2,37,83.9,208.2,15.1,15.1,485.4,6.4,85.9,210.4,24,97.4,249.2,35.4,35.4,544.8,7.2,96.9,244.8,18,104.9,266.5,46.8,46.8,584.7,7.7,103.6,259.3,20,108.3,265.4,42.9,42.9,593.6,7.8,106.6,260,,,,,,,,,,13,94,,64.7,,574.79,,96.2,
0310/022,117 POST ST,117 POST ST,94108,"117 POST ST
SAN FRANCISCO, CA 94108",24408,Office,http://propertymap.sfplanning.org/?&search=0310/022,1906,2023-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Exempt,,Complied,,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,89,33.9,81.4,-43.9,-43.9,27.4,2.5,33.9,81.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0310/024,46 GEARY ST,46 GEARY ST,94108,"46 GEARY ST
SAN FRANCISCO, CA 94108",18000,Mixed Use Property,http://propertymap.sfplanning.org/?&search=0310/024,1907,2022-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Exempt,Change in Ownership,Exempt,Change in Ownership,Exempt,Change in Ownership,Exempt,Change in Ownership,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,53.8,149.1,21.1,21.1,69.6,3.9,53.8,149.1,,41.8,123.8,0.5,0.5,63.1,3.5,41.8,123.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0311/005,660 Market Street,660 MARKET ST,94104,"660 MARKET ST
SAN FRANCISCO, CA 94104",52617,Office,http://propertymap.sfplanning.org/?&search=0311/005,1924,2022-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Did Not Report,,Complied,,Complied,,,,,,,,,,,80,40,108.8,-32.1,-32.1,168.4,3.2,43.3,112.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0311/007,88 Kearny Street Building,88 KEARNY ST,94104,"88 KEARNY ST
SAN FRANCISCO, CA 94104",262125,Office,http://propertymap.sfplanning.org/?&search=0311/007,1986,2018-04-01T00:00:00.000,Exempt - ENERGY STAR,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,91,43.9,120.2,-46.9,-46.9,780.6,3.1,44.7,121,89,45.2,125.3,-43.9,-43.9,909,3.7,46.1,126.2,87,49.2,134.5,-40.6,-40.6,930.3,3.7,48.7,132.9,85,51.6,138.4,-37.6,-37.6,966.4,3.9,51.5,136.9,83,53.1,141.1,-36,-36,1054.7,4.2,53.2,141.2,82,56.1,158.1,-34.1,,1147.74,,55.7,157.6,73,67.9,,-23.9,,1299.34,,68.3,
0311/013,Mechanics' Institute,57 POST ST,94104,"57 POST ST
SAN FRANCISCO, CA 94104",70769,Mixed Use Property,http://propertymap.sfplanning.org/?&search=0311/013,1909,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,99,33.6,61.1,-67.9,-67.9,146.1,2.1,33.6,61.1,,30.8,64.8,-47.4,-47.4,152.7,2.2,33.3,67.4,,34,70.1,-43,-43,161,2.3,35.8,72,,37.1,72.3,-41.3,-41.3,171.4,2.4,40.1,75.4,,43.2,77.9,-36.7,-36.7,200.5,2.8,43.4,78.1,,47.9,94.2,-23.5,,231.6,,46.5,92.7,,49,,-23.7,,237.55,,48.7,
0311/015,One Post Street,600 MARKET ST,94104,"600 MARKET ST
SAN FRANCISCO, CA 94104",466031,Office,http://propertymap.sfplanning.org/?&search=0311/015,1969,2018-04-01T00:00:00.000,Exempt - LEED EBOM,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,96,43.3,115.1,-58.2,-58.2,1482.4,3.2,44.7,116.8,96,43.4,117.8,-55.8,-55.8,1663.5,3.6,45.7,120.6,91,50,134.2,,,1882.8,4.1,50.9,134.2,91,47.8,127.9,-46.6,-46.6,1713.5,3.7,49.9,130.3,92,50.1,126.9,-47.9,-47.9,1768.9,3.8,50.3,127.2,92,50.1,133.3,-48.7,,2007.45,,48.9,131.8,91,52,,-47,,2082.31,,49.5,
0312/004,C&W GMIC 720 Market,720 MARKET ST,94108,"720 MARKET ST
SAN FRANCISCO, CA 94108",42890,Office,http://propertymap.sfplanning.org/?&search=0312/004,1990,2018-04-01T00:00:00.000,Exempt - ENERGY STAR,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,86,56.4,136.6,-39.4,-39.4,164.6,3.8,57.7,137.9,81,65.7,149.2,-33.2,-33.2,205,4.8,66.7,150.2,87,55.7,131.5,-41.1,-41.1,169.5,4,57.2,133,92,39.7,94.5,-48.6,-48.6,121.2,2.8,42.8,97.8,94,39,89.2,-53.2,-53.3,123.3,2.9,37.2,87.4,88,47.6,116.8,-42.5,,155.83,,46.5,115.7,,,,,,,,,
0312/006,744 MARKET ST,744 MARKET ST,94108,"744 MARKET ST
SAN FRANCISCO, CA 94108",35211,Bank Branch,http://propertymap.sfplanning.org/?&search=0312/006,1910,2013-04-01T00:00:00.000,Did Not Comply,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,,,,,,,,,66,40.2,95.4,-17.3,-17.3,111.4,3.2,43.3,99.1,69,39.7,94.4,-20.5,-20.5,110.1,3.1,40.7,95.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0312/008,Grant & Geary,77 GEARY ST,94108,"77 Geary
SAN FRANCISCO, CA 94108",120971,Office,http://propertymap.sfplanning.org/?&search=0312/008,1929,2018-04-01T00:00:00.000,Pending - Contracted,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,68,47.9,134,-22.1,-22.1,407.8,3.4,47.4,132.7,91,36.6,112.6,-46.4,-46.4,381.4,3.2,36.6,112.6,91,38,113.5,-46.9,-46.9,369.2,3.1,38,113.5,94,32.1,99.5,-52.8,-52.8,315.4,2.6,32.1,99.5,97,28.7,87.4,-59.4,-59.4,,,28.7,87.5,97,30,89.6,-58.7,-58.7,,,30,89.6,,,,,,,,,
0312/009,C&W GMIC 49 Geary,49 GEARY STREET,94108,"49 Geary Street
SAN FRANCISCO, CA 94108",146134,Office,http://propertymap.sfplanning.org/?&search=0312/009,1912,2018-04-01T00:00:00.000,Exempt - ENERGY STAR,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,96,37.8,94.2,-59.2,-59.2,380,2.6,40.1,96.6,97,30.7,86.8,-62,-62,366.9,2.5,32.3,88.4,97,31.7,93,-59.4,-59.4,365,2.5,31.9,92.6,96,31.8,95.3,-57.3,-57.3,370,2.5,32.8,96.3,96,32.8,95.7,-58.4,-58.4,376.7,2.6,33,95.9,96,32.1,100.4,-59.6,,410.13,,31.6,99.4,91,44.6,,-47.7,,540.68,,42.5,
0312/031,One Kearny Master Tenant LPA,1 KEARNY ST,94108,"1 Kearny St
SAN FRANCISCO, CA 94108",116495,Office,http://propertymap.sfplanning.org/?&search=0312/031,0,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,75,85,198.2,-26.4,-26.4,672,5.8,85,198.2,74,85.4,199.5,-25,-25,743.8,6.4,85.4,199.5,94,42.2,127.9,-52.6,-52.6,353.4,3.4,42.2,127.9,94,42.7,128.1,-52,-52,357.1,3.4,42.7,128.1,90,51,147.1,-45.7,-45.7,421.6,4.1,51,147.1,97,36.9,110.4,-59,-59,357.1,3,36.6,110,,,,,,,,,
0313/001,101 Geary Street,101 GEARY ST,94108,"101 GEARY ST
SAN FRANCISCO, CA 94108",13303,Office,http://propertymap.sfplanning.org/?&search=0313/001,1907,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,89,20,55.2,-44.3,-44.3,19.1,1.4,20.8,56,65,26.3,76.5,-16.4,-16.4,29.1,2.2,26.3,76.5,65,27.4,80.8,-16.4,-16.4,28.8,2.2,27.8,81.2,62,27.6,82.4,-13.3,-13.3,29.2,2.2,27.8,81.5,69,27.4,78.8,-19.9,-19.8,30.4,2.3,27.4,78.7,,,,,,,,,,,,,,,,,,
0313/007,23 Grant Avenue,17 GRANT AVE,94108,"17 GRANT AVE
SAN FRANCISCO, CA 94108",27620,"Personal Services (Health/Beauty, Dry Cleaning, etc)",http://propertymap.sfplanning.org/?&search=0313/007,1909,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,39.3,89.6,-10.8,-10.8,72.2,2.6,43,93.4,,36.3,92.3,-8.1,-8.1,77.4,2.8,36.3,92.3,,42,107,6.6,6.6,85.3,3.1,43.5,108.5,,46.7,116.9,16.4,16.4,94,3.4,53.2,123.7,,50.3,123.1,22.7,22.6,106.1,3.8,50.7,123.6,,54.7,138.5,-21.9,,117.2,,55.3,139.1,,,,,,,,,
0313/008,1 GRANT AVE,1 GRANT AVE,94108,"1 GRANT AVE
SAN FRANCISCO, CA 94108",24408,Retail Store,http://propertymap.sfplanning.org/?&search=0313/008,1910,2023-04-01T00:00:00.000,Upcoming,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,76,76.7,106.2,-31.8,-31.8,106.2,4.4,78,107.6,,,,,,,,,,,,,,,,,,,13,80.7,253.4,66.8,66.8,160.6,6.6,79.7,250.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0313/010,Terra Verde - 26 O'Farrell,20 OFARRELL ST,94108,"20 OFARRELL ST
SAN FRANCISCO, CA 94108",40858,Office,http://propertymap.sfplanning.org/?&search=0313/010,1909,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,43.3,86.3,-41.7,-41.7,112,2.7,45.9,89.1,,43.5,85.2,-42.4,-42.4,120.5,2.9,47.6,89.5,,41,85,-42.6,-42.6,112.3,2.7,43.2,87.3,,35.5,79,-46.6,-46.6,100.2,2.5,40.3,85.1,96,38.5,83.1,-56.8,-56.8,112.5,2.8,38.8,83.6,,39.7,93.1,-41.6,,112.26,,39.8,93.5,,,,,,,,,
0313/017,71428B (UNION SQUARE B),120 STOCKTON ST,94108,"120 STOCKTON ST
SAN FRANCISCO, CA 94108",247617,Retail Store,http://propertymap.sfplanning.org/?&search=0313/017,1974,2013-04-01T00:00:00.000,Did Not Comply,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,82,40.5,123.2,-39,-39,749.9,3,40.5,123.2,80,41.9,124.6,-37,-37,872,3.5,41.9,124.6,81,40.5,124.9,-38.2,-38.2,810.5,3.3,40.5,124.9,79,41.9,128.1,-35.4,-35.4,833.8,3.4,42.5,128.8,78,46.5,135.5,-33.8,-33.9,968.6,3.9,46.6,135.7,80,44.6,140.6,-36.2,,969.8,,44.4,140.4,82,41.1,,-39.7,,911.34,,41.1,
0313/018,Nieman Marcus,150 STOCKTON ST.,94108,"150 Stockton St
SAN FRANCISCO, CA 94108",253975,Retail Store,http://propertymap.sfplanning.org/?&search=0313/018,0,2022-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,82,54.9,157.6,-38.9,-38.9,1016.6,4,54.3,155.5,80,56.3,162.1,-36.8,-36.8,1180.1,4.6,55.6,160.1,87,51,160.1,-45.6,-45.6,1055.6,4.2,50.4,158.1,86,51.7,162.3,-44.8,-44.8,1070.1,4.2,50.3,158,84,54.2,170.1,-42,-42,1121.6,4.4,54.1,169.7,85,53,166.4,-43.1,-43.1,1097.5,4.3,53.7,168.7,84,54.6,171.5,-41.5,-41.5,1131.2,4.5,55.4,174.1
0314/001,71428A (UNION SQUARE MAIN),170 O'FARRELL ST,94102,"170 O Farrell St
SAN FRANCISCO, CA 94102",912400,Retail Store,http://propertymap.sfplanning.org/?&search=0314/001,1946,2013-04-01T00:00:00.000,Did Not Comply,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,71,62.8,168.2,-25.3,-25.3,4059,4.4,63.1,168.4,67,65.3,174.7,-20.9,-20.9,4724.1,5.2,65.7,175.1,66,67.5,181.1,-19.6,-19.6,4637.5,5.1,67.5,181.1,63,70.5,186.5,-15.8,-15.8,4811.2,5.3,70.5,186.5,67,69,180.1,-21,-21,4977.3,5.5,69,180.1,67,72.1,194.8,-20.4,,5287.39,,69.1,191.7,69,68,,-23.2,,5073.14,,68,
0314/016,Union Square Building LLC,285 GEARY ST,94102,"285 GEARY ST
SAN FRANCISCO, CA 94102",41622,Office,http://propertymap.sfplanning.org/?&search=0314/016,1907,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,26.3,68.7,-53.6,-53.6,76.8,1.8,26.5,68.9,,26.2,69.5,-53,-53,86,2.1,26.4,69.7,,25.8,68.9,-53.4,-53.4,80.7,1.9,25.9,68.7,92,28.8,76.2,-48,-48,89.6,2.2,29.6,77.1,95,27.8,72.1,-53.6,-53.5,85.8,2.1,27.5,71.7,95,26.4,73.9,-55.3,,90.13,,26.1,73.5,,,,,,,,,
0315/001,Gunst Building,323 GEARY ST,94102,"323 GEARY ST
SAN FRANCISCO, CA 94102",50993,Office,http://propertymap.sfplanning.org/?&search=0315/001,1908,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,96,35.9,69.9,-57.4,-57.4,115.1,2.3,37.3,71.6,95,38.8,75.4,-53.8,-53.8,133.5,2.6,42.2,79.7,95,37.6,75,-53.9,-53.9,126.5,2.5,39.9,77.6,94,36.4,74.3,-53.4,-53.4,123.5,2.4,39.5,78.5,92,44.6,86.8,-48.5,-48.5,148.6,2.9,43,85.1,87,31.7,106,-40.9,,146.99,,31.7,106,,,,,,,,,
0315/003,Hotel Villa Florence,225 POWELL ST,94102,"225 POWELL ST
SAN FRANCISCO, CA 94102",115749,Hotel,http://propertymap.sfplanning.org/?&search=0315/003,1908,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,47,54.6,115.6,2.3,2.3,409.1,3.5,54.6,115.6,55,97.7,186.1,-4.7,-4.7,756.5,6.5,99,190.2,52,100.4,190.7,-2.4,-2.4,776.1,6.7,100.7,191.7,46,104.6,199.8,3.6,3.6,784.6,6.8,103.5,196.3,51,103.4,197.3,-1.7,-1.6,806.5,7,103.8,198.5,59,111.9,211.2,-8.4,,728.39,,111.9,211.2,62,110.8,,-11,,717.31,,110.8,
0315/004,Varlow Building,207 POWELL ST,94102,"207 POWELL ST
SAN FRANCISCO, CA 94102",23215,Office,http://propertymap.sfplanning.org/?&search=0315/004,1906,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,SqFt Not Subject This Year,,35.9,84.8,-42.7,-42.7,56.1,2.4,35.9,84.8,,34.7,81.5,-45,-45,59.6,2.6,35.2,82,,25,55.5,-62.5,-62.5,40.1,1.7,25,55.5,,29.4,64,-56.8,-56.8,46.7,2,30.6,65.3,,29,63.5,-48.4,-48.4,48.5,2.1,28.2,62.7,,,,,,,,,,,,,,,,,,
0315/011,Handlery Hotel,260 OFARRELL ST,94102,"260 OFARRELL ST
SAN FRANCISCO, CA 94102",97000,Hotel,http://propertymap.sfplanning.org/?&search=0315/011,1965,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,91,19.9,62.5,-40.9,-40.9,146.4,1.5,19.8,62.3,91,19.7,61.9,-40.4,-40.4,165.8,1.7,19.6,61.4,87,21.5,67.4,-35.1,-35.1,169.7,1.7,21.1,66.2,85,21.8,68.6,-32.7,-32.7,172.7,1.8,21.1,66.2,90,21.1,66.3,-38.9,-38.9,167,1.7,21.4,67.2,90,20.9,69.8,-39.5,,184.15,,21,70.2,91,20.7,,-40.9,,182.19,,21.3,
0315/017,334 MASON ST,334 MASON ST,94102,"334 MASON ST
SAN FRANCISCO, CA 94102",43074,Hotel,http://propertymap.sfplanning.org/?&search=0315/017,1912,2021-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,,,,,,,,,60,78.1,168,-9.3,-9.3,238.3,5.5,80.2,170.3,52,83.2,180.3,-2.3,-2.3,244.9,5.7,84.1,180.5,56,76.3,171.8,-5.4,-5.4,228.3,5.3,79.3,174.9,52,90.4,185.6,-2.6,-2.6,259.9,6,89.9,186.2,,,,,,,,,,,,,,,,,,
0315/022,Handlery Union Square Hotel,351 GEARY ST,94102,"351 GEARY ST
SAN FRANCISCO, CA 94102",202500,Hotel,http://propertymap.sfplanning.org/?&search=0315/022,1907,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,70,86.2,153.8,-17.9,-17.9,1066.9,5.3,87,154.4,66,88.9,158.2,-14.5,-14.5,1167.4,5.8,89,157.8,59,94.6,169.6,-8.4,-8.4,1211,6,93.9,167.5,60,93,165.5,-9.3,-9.3,1186.9,5.9,92,162.4,65,96.3,166,-13.1,-13.1,1214.5,6,95.6,165.3,39,65.4,121.1,10.3,,1300.48,,67.1,122.9,42,62.5,,7.4,,1262.52,,63.1,
