BuildingID,DataYear,BuildingType,City,State,ZipCode,YearBuilt,PropertyGFATotal,LargestPropertyUseType,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu)
21893,2017,NonResidential,Seattle,WA,98108,1979,31600,Non-Refrige,119.0,116.300003051758,231.399993896484,228.699996948242,3759360.0,3675358.5,0.0,1610223.4540000001,2149136.328125
21894,2017,NonResidential,SEATTLE,WA,98108,2007,35289,Non-Refrige,25.399999618530302,24.2999992370605,64.5,61.2000007629395,897374.875,856977.0,0.0,637574.85,259800.0
21896,2017,NonResidential,Seattle,WA,98108,1981,28920,Non-Refrige,78.0,75.6999969482422,112.0,109.599998474121,2340332.5,2270358.5,0.0,432228.74799999996,1908103.7109375
21897,2017,NonResidential,Seattle,WA,98108,1978,22176,Non-Refrige,106.0,104.099998474121,144.899993896484,142.899993896484,2350265.75,2308308.25,0.0,356468.7,1993797.0703125
21898,2017,NonResidential,Seattle,WA,98108,1978,31300,Non-Refrige,12.8000001907349,12.3999996185303,29.7999992370605,29.399999618530302,400795.90625,389663.90625,0.0,245029.02146875,155766.9921875
21902,2017,NonResidential,Seattle,WA,98108,1979,22000,Non-Refrige,33.7000007629395,33.7000007629395,105.800003051758,105.800003051758,741222.875,741222.875,0.0,741222.88,0.0
21904,2017,NonResidential,Seattle,WA,98125,1974,39927,Office,90.0999984741211,88.5,283.0,277.79998779296903,3563946.25,3498572.0,0.0,3563945.95625,0.0
21905,2017,NonResidential,Seattle,WA,98115,1979,30610,Other - Rec,144.100006103516,144.100006103516,275.899993896484,276.0,4410019.5,4411728.5,0.0,1825844.15425,2584175.0
21907,2017,NonResidential,Seattle,WA,98115,1980,26930,Medical Off,36.7000007629395,36.7000007629395,115.300003051758,115.300003051758,988760.8125,988760.8125,0.0,988760.70775,0.0
21909,2017,NonResidential,Seattle,WA,98115,1968,38745,Medical Off,41.5,41.5,116.0,116.0,2702922.0,2703367.5,0.0,2253021.6495,449900.0
21913,2017,NonResidential,Seattle,WA,98105,1959,20296,Self-Storag,44.4000015258789,44.4000015258789,139.5,139.5,901665.5,901665.5,0.0,901665.3559999999,0.0
21916,2017,NonResidential,"Seattle, WA",WA,98105,1945,22135,Medical Off,56.7999992370605,55.7000007629395,135.5,134.300003051758,1303594.5,1277466.375,0.0,833571.3789375,470022.998046875
21917,2017,NonResidential,Seattle,WA,98105,1967,38378,Medical Off,49.9000015258789,49.2999992370605,92.9000015258789,92.1999969482422,1748912.625,1727829.0,0.0,680279.442,1068633.0078125
21920,2017,NonResidential,Seattle,WA,98105,1980,33576,Non-Refrige,65.09999847412111,61.5999984741211,80.9000015258789,77.1999969482422,2184510.5,2068334.125,0.0,201661.142,1982849.0234375
21921,2017,NonResidential,Seattle,WA,98105,1975,33005,Supermarket,293.20001220703097,292.399993896484,729.7000122070309,728.900024414063,10257042.0,10230203.0,0.0,7060450.747,3196590.0390625
21937,2017,Residential,Seattle,WA,98103,2007,67910,Multifamily,30.2999992370605,29.7999992370605,82.0999984741211,81.0,2055909.0,2020922.625,0.0,1635639.761875,420269.04296875
21940,2017,Residential,Seattle,WA,98109,1965,22208,Multifamily,28.2000007629395,27.600000381469698,88.5999984741211,86.8000030517578,626287.5,613799.1875,0.0,626287.2609375,0.0
21941,2017,Residential,Seattle,WA,98121,2000,264239,Multifamily,57.0999984741211,56.2000007629395,130.5,128.5,11663716.0,11482288.0,0.0,6907968.467,4755746.09375
21944,2017,Residential,Seattle,WA,98104,1982,231352,Multifamily,62.2000007629395,60.7000007629395,132.800003051758,130.199996948242,14379275.0,14041624.0,0.0,7475714.177999999,6903560.15625
21945,2017,NonResidential,Seattle,WA,98104,1981,20971,Parking,39.5999984741211,37.4000015258789,124.5,117.300003051758,869253.625,819360.1875,0.0,869253.381875,0.0
21946,2017,Residential,Seattle,WA,98101,1913,43884,Multifamily,33.2999992370605,32.5999984741211,78.4000015258789,76.3000030517578,1640193.5,1606574.375,0.0,1024220.34425,615972.94921875
21950,2017,Residential,SEATTLE,WA,98119,2000,45715,Multifamily,31.2000007629395,30.7999992370605,98.0,96.8000030517578,1327998.875,1311324.25,0.0,1327998.80775,0.0
21951,2017,Residential,Seattle,WA,98125,2008,614114,Parking,72.5999984741211,72.5999984741211,195.100006103516,195.100006103516,10978112.0,10978112.0,0.0,8601044.663999999,2377066.796875
21954,2017,Residential,Seattle,WA,98118,2005,32038,Multifamily,37.5999984741211,37.0999984741211,104.800003051758,103.300003051758,1204217.375,1189261.875,0.0,1000816.37,203401.000976563
21955,2017,NonResidential,Seattle,WA,98199,1927,23910,Office,39.0,38.5,103.800003051758,103.300003051758,932006.6875,921460.6875,0.0,718992.6870625,213013.989257813
21958,2017,Residential,Seattle,WA,98101,1957,151680,Multifamily,78.6999969482422,78.6999969482422,118.699996948242,118.699996948242,11934240.0,11941990.0,0.0,2618058.94775,9316181.25
21964,2017,NonResidential,Seattle,WA,98107,1910,21765,Worship Fac,25.399999618530302,24.399999618530302,39.2999992370605,38.0999984741211,553009.0,530957.875,0.0,131571.83800000002,421437.3046875
22025,2017,Residential,Seattle,WA,98107,1977,24032,Multifamily,26.399999618530302,26.100000381469698,82.8000030517578,82.0,633439.875,627253.0,0.0,633439.825875,0.0
22034,2017,Residential,Seattle,WA,98107,1985,27553,Multifamily,30.2999992370605,30.0,95.1999969482422,94.1999969482422,835479.1875,826296.5,0.0,835479.060125,0.0
22039,2017,Residential,Seattle,WA,98109,2014,305537,Multifamily,44.2999992370605,43.7000007629395,95.8000030517578,95.1999969482422,10646047.0,10511080.0,0.0,5676360.5785,4969686.328125
22046,2017,Residential,Seattle,WA,98109,2005,373664,Multifamily,43.5999984741211,43.5999984741211,70.5999984741211,70.5999984741211,7873497.0,7876398.5,0.0,2150893.45225,5722603.125
22058,2017,Residential,Seattle,WA,98122,2000,209575,Multifamily,41.7000007629395,41.7000007629395,125.0,125.0,6239580.5,6239580.5,0.0,5826165.717999999,413414.013671875
