RID,BuildingID,DataYear,BuildingType,City,State,ZipCode,YearBuilt,PropertyGFATotal,LargestPropertyUseType,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu)
165,274,2015,NonResidential,Seattle,WA,98103,1991,75397,,7.7,8.2,20.7,21.2,516216,551381,0,406533,109700
166,276,2015,NonResidential,Seattle,WA,98104,2000,1158691,,219.1,220.5,508.5,498.3,295812640,297740960,122701720,170891586,2226424
167,278,2015,NonResidential,Seattle,WA,98104,1999,102796,,103.3,106.1,270.1,273,10620628,10902412,0,7949519,2671438
168,279,2015,Specialty,Seattle,WA,98116,2002,208981,,36.2,41.5,87,92.6,7564604,8680483,0,4895406,2669400
169,280,2015,Residential,Seattle,WA,98101,1909,51976,,77.8,85.1,154,161.7,3918038,4285693,0,1741632,2176478
170,281,2015,NonResidential,Seattle,WA,98105,1928,55653,,36.1,48.5,38.3,51.3,2003474,2690623,0,10580,1992894
171,282,2015,NonResidential,Seattle,WA,98105,1931,106860,,113.1,122.5,192.9,196.9,12087498,13085938,0,3788422,8299234
172,283,2015,NonResidential,Seattle,WA,98125,1972,50759,,60,60,168.2,168.2,3045139,3045139,0,2556409,488836
173,284,2015,NonResidential,Seattle,WA,98105,1952,56772,,41.4,50,78.6,87.6,2349950,2835789,0,954132,1395857
174,285,2015,NonResidential,Seattle,WA,98105,1952,103000,,47.2,55.7,99.6,108.6,4864408,5741732,0,2466944,2397565
175,286,2015,Specialty,Seattle,WA,98115,2006,269297,,38.2,42.4,99.6,104.1,10281586,11430634,0,7672105,2609800
176,287,2015,Specialty,Seattle,WA,98115,2001,75174,,35.3,42.4,80.9,91.3,2654755,3183918,0,1575720,1079100
177,289,2015,Specialty,Seattle,WA,98119,2003,75214,,30.5,30.5,82.3,82.3,2295845,2295845,0,1807220,488700
178,290,2015,Specialty,Seattle,WA,98116,2005,134918,,28,33.1,74.7,85.2,3773040,4466541,0,2927362,845800
179,291,2015,Specialty,Seattle,WA,98144,1991,64414,,37.5,43.3,117.7,136,2414679,2790234,0,2414779,0
